CODE,Milieu de résidence,Durée de chômage,Sexe,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
482,Urbain,Moins de 12 mois,Masculin ,26,"26,8","27,7","27,5","26,6","28,1",29.6,32.3,31.4,28.7,32.1,36.6,34.7,32.4,34.0,37.6,33.8,31.4,29.4,32.2,32.6,44.3,26.1
486,Urbain,Moins de 12 mois,Feminin,"20,4","20,9","21,8","21,8","22,1","21,9",22.5,25.5,24.7,20.2,24.5,25.4,23.1,23.1,32.6,25.5,23.5,22.1,21.0,32.2,22.8,32.5,22.4
478,Urbain,Moins de 12 mois,Total,"24,3","25,1",26,"25,8","25,2","26,2",27.4,30.3,29.4,26.1,29.7,33.1,30.7,29.3,30.9,33.7,30.5,28.2,26.2,32.1,28.9,40.3,24.8
483,Urbain,12 à moins de 36 mois,Masculin ,"27,7","26,7","25,9","26,1","24,2","26,3",24.5,24.6,28.1,28.9,29.3,27.1,25.8,25.1,26.1,27.0,28.4,32.2,32.4,32.2,29.2,27.7,42.5
487,Urbain,12 à moins de 36 mois,Feminin,"28,8","29,4","27,3","26,6","25,2","28,6",26.4,28.0,31.2,33.3,32.5,30.1,30.8,31.2,30.9,33.4,34.9,37.8,35.4,32.2,33.8,33.3,43.7
479,Urbain,12 à moins de 36 mois,Total,28,"27,5","26,3","26,2","24,5",27,25.1,25.6,29.0,30.2,30.3,28.0,27.5,27.1,28.1,29.0,30.5,34.1,33.6,32.1,31.0,29.6,43.0
484,Urbain,36 à moins de 60 mois,Masculin ,"17,5","16,5","17,5","16,5","16,2","15,5",14.7,13.4,15.9,17.7,15.9,14.6,15.0,15.3,15.0,13.2,14.4,14.9,15.9,32.2,16.4,12.8,14.7
488,Urbain,36 à moins de 60 mois,Feminin,"20,2","20,3","19,3",19,"16,8",15,18.0,14.9,18.7,18.5,19.0,18.5,16.3,16.7,14.7,15.7,16.4,16.5,17.1,32.2,18.9,15.2,14.9
480,Urbain,36 à moins de 60 mois,Total,"18,3","17,6",18,"17,2","16,4","15,3",15.7,13.8,16.7,17.9,16.9,15.8,15.5,15.8,14.7,14.0,15.1,15.4,16.3,32.1,17.4,13.6,14.8
485,Urbain,60 mois et plus,Masculin ,"28,6","29,9","28,9","29,9",33,"30,2",31.2,29.7,24.4,24.7,22.5,21.3,24.2,26.7,24.0,21.8,23.0,21.3,22.0,32.2,21.8,15.2,16.7
489,Urbain,60 mois et plus,Feminin,"30,6","29,4","31,6","32,6","35,9","34,3",33.0,31.6,25.3,28.0,23.7,25.9,29.7,28.8,28.1,25.3,25.1,23.3,26.3,32.2,24.5,19.0,18.9
481,Urbain,60 mois et plus,Total,"29,2","29,7","29,7","30,7","33,9","31,4",31.7,30.2,24.6,25.7,22.9,22.7,26.1,27.4,25.1,22.9,23.7,22.0,23.6,32.2,22.8,16.5,17.5
494,Rural,Moins de 12 mois,Masculin ,"45,3","50,6","53,4","54,1","54,9","57,2",55.6,56.3,54.3,50.6,51.7,54.0,54.8,57.3,57.1,56.8,52.5,52.1,44.3,32.3,50.3,62.5,44.8
462,Rural,Moins de 12 mois,Feminin,"48,3",56,"58,1","57,1","48,6","38,1",33.1,48.4,48.8,34.9,31.9,38.2,35.5,39.8,50.8,43.8,44.1,37.0,25.8,32.3,32.8,33.4,29.9
490,Rural,Moins de 12 mois,Total,"45,7","51,2","53,9","54,5",54,"54,3",52.6,55.1,53.5,48.3,49.0,51.4,51.4,54.6,56.2,55.0,51.1,49.3,40.4,32.2,47.0,58.1,42.0
495,Rural,12 à moins de 36 mois,Masculin ,"24,5","22,6","22,9",22,"21,1","19,5",20.7,22.1,22.1,26.2,25.8,24.8,23.6,21.1,24.3,23.5,26.0,26.0,30.4,32.3,37.3,20.3,34.9
463,Rural,12 à moins de 36 mois,Feminin,"20,7",21,"18,2","17,1","17,8","17,3",25.3,18.5,16.7,28.5,36.1,35.2,26.7,26.0,22.6,31.2,31.5,34.5,35.9,32.3,33.6,35.4,41.0
